"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","98","pass your own callback function to should()","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","101",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","239","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","81","Control what is printed to the Command Log","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.log","",""
"","85","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-09-03","passed","2026-09-03","","Cypress.Screenshot","",""
"","270","Cypress._ - call a lodash method","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","244",".children() - get child DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","665","cy.screenshot() - take a screenshot","Misc","2026-09-03","passed","2026-09-03","","Cypress.Screenshot","",""
"","91","Get CPU architecture name of underlying OS","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.arch","",""
"","79","Get current spec information","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.spec","",""
"","430","displays two todo items by default","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","92","invokes a callback function with the current subject","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","92",".last() - get last DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","182","cy.request() with query parameters","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","110",".debug() - enable or disable debugging","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.Cookies","",""
"","267","can filter for completed tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","104",".parent() - get parent DOM element from DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","183","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","188","can check off an item as completed","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","277",".should() - make an assertion about the current subject","Assertions","2026-09-03","passed","2026-09-03","","Implicit Assertions","",""
"","328","cy.visit() - visit a remote url","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","1583","retries the should callback until assertions pass","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","1905",".click() - click on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","97",".nextUntil() - get next sibling DOM elements until next el","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","96",".first() - get first DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","101",".filter() - get DOM elements that match the selector","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","130",".focus() - focus on a DOM element","Actions","2026-09-03","passed","2026-09-03","","","",""
"","21","cy.stub() matches depending on arguments","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","486","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-09-03","passed","2026-09-03","","","",""
"","365",".submit() - submit a form","Actions","2026-09-03","passed","2026-09-03","","","",""
"","421","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","79","Get current version of Cypress being run","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.version","",""
"","560","cy.request() - make an XHR request","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","95","yields the returned value to the next command","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","2536","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
"","89",".prevAll() - get all previous sibling DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","245",".each() - iterate over an array of elements","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","90",".not() - remove DOM elements from set of DOM elements","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","98","finds element by class name regex","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","93","matches unknown text between two elements","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","2770","cy.viewport() - set the viewport size and dimension","Viewport","2026-09-03","passed","2026-09-03","","","",""
"","98",".invoke() - invoke a function on the current subject","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","127","cy.contains() - query DOM elements with matching content","Querying","2026-09-03","passed","2026-09-03","","","",""
"","99","expect - make an assertion about a specified subject","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","467","cy.request() - save response in the shared test context","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","87","assert - assert shape of an object","Assertions","2026-09-03","passed","2026-09-03","","Explicit Assertions","",""
"","206","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","91",".next() - get next sibling DOM element","Traversal","2026-09-03","passed","2026-09-03","","","",""
"","109","cy.document() - get the document object","Window","2026-09-03","passed","2026-09-03","","","",""
"","218","Cypress.$ - call a jQuery method","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","142","cy.root() - query the root DOM element","Querying","2026-09-03","passed","2026-09-03","","","",""
"","495","cy.intercept() - route responses to matching requests","Network Requests","2026-09-03","passed","2026-09-03","","","",""
"","874","cy.exec() - execute a system command","Misc","2026-09-03","passed","2026-09-03","","","",""
"","610","best practices - selecting elements","Querying","2026-09-03","passed","2026-09-03","","","",""
"","174","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","79","yields the original subject without return","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","80","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-09-03","passed","2026-09-03","","","",""
"","388",".as() - alias a route for later use","Aliasing","2026-09-03","passed","2026-09-03","","","",""
"","125","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","100","yields the value yielded by the last Cypress command inside","Connectors","2026-09-03","passed","2026-09-03","",".then()","",""
"","395","can add new todo items","example to-do app","2026-09-03","passed","2026-09-03","","","",""
"","75","cy.url() - get the current URL","Location","2026-09-03","passed","2026-09-03","","","",""
"","263","can delete all completed tasks","example to-do app","2026-09-03","passed","2026-09-03","","with a checked task","",""
"","102","cy.setCookie() - set a browser cookie","Cookies","2026-09-03","passed","2026-09-03","","","",""
"","274","cy.hash() - get the current URL hash","Location","2026-09-03","passed","2026-09-03","","","",""
"","856","cy.go() - go back or forward in the browser's history","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","374","cy.reload() - reload the page","Navigation","2026-09-03","passed","2026-09-03","","","",""
"","80","Get underlying OS name","Cypress APIs","2026-09-03","passed","2026-09-03","","Cypress.platform","",""
"","162",".scrollIntoView() - scroll an element into view","Actions","2026-09-03","passed","2026-09-03","","","",""
"","83",".spread() - spread an array as individual args to callback function","Connectors","2026-09-03","passed","2026-09-03","","","",""
"","117","cy.location() - get window.location","Location","2026-09-03","passed","2026-09-03","","","",""
"","176","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-09-03","passed","2026-09-03","","","",""
